ISINCode,AssetClass,SubAssetClass,IndexName,IndexAgg,IndexCode,IndexFamily,IndexProvider,ReturnType,RebalanceFrequency,ActivelyManaged,Backing,Synthetic,CurrencyHedge,HedgeFrom,HedgeTo,Development,Region,Country,EquitySize,EquityIsSector,EquitySectorCycles,EquitySector,EquitySubSector,EquityIsThematic,IsESG,EquityESGType,EquityIsFactor,EquityIsIncome,EquityIsValue,EquityIsQuality,EquityIsMomentum,EquityIsSize,EquityIsGrowth,EquityIsLowVol,EquityBetaCorrelation,FactorIsMultiFactor,EquityFactorDes,EquityIsStrategy,EquityBuybackYield,EquityIsCapped,EquityIsEqualWeight,EquityIsRiskWeight,EquityIsAlternativeWeight,EquityStrategyRevenueAbroad,EquityStrategyDes,FixedIncomeCategory,FixedIncomeType,FixedIncomeMaturityGroup,FixedIncomeMaturityName,FixedIncomeRatingGroup,FixedIncomeRating,FixedIncomeDominateCurrencyGroup,FixedIncomeDominateCurrency,FixedIncomeSector,FixedIncomeIsFloating,FixedIncomeFloatingFixed,FixedIncomeIsFactor,FixedIncomeIsLiquidity,FixedIncomeIsYield,FixedIncomeIsMomentum,FixedIncomeIsCarry,FixedIncomeIsQuality,FixedIncomeIsValue,FixedIncomeFactorDes,FixedIncomeIsStrategy,FixedIncomeInflationBreakeven,FixedIncomeDurationNeutral,FixedIncomeAlternativeWeight,FixedIncomeIsCapped,FixedIncomeStrategyDes,CurrencyType,CurrencyBucket1,CurrencyBucket2,CommoditySector,CommodityUnderlying,CommoditySpotForward,CommodityRollOptimised,CommodityPhysicalHeld,CommodityIsCapped,CommodityAlternativeWeight,CommodityStrategyDes,StructuredType,StructuredTracking,StructuredMultiple,StructuredLeverage,StructuredSector,ClassLevel1,ClassLevel2,ClassLevel3,ClassType
CH0106407171,Commodity,Commodity,LBMA Platinum,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,CHF,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106407155,Commodity,Commodity,LBMA Platinum,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,EUR,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106407197,Commodity,Commodity,LBMA Platinum,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,GBP,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
DE000A0N62D7,Commodity,Commodity,LBMA Platinum Price PM USD,LBMA Platinum,LB01389,Commodity Futures,LBMA,-,Daily,FALSE,-,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
JE00B1VS2W53,Commodity,Commodity,LBMA Platinum Price PM USD,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106406215,Commodity,Commodity,LBMA Platinum Price PM USD,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106407098,Commodity,Commodity,LBMA Platinum Price PM USD,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,USD,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
IE00B40QP990,Commodity,Commodity,LBMA Platinum Price PM USD,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0116014934,Commodity,Commodity,LBMA Platinum Price PM USD,LBMA Platinum,LB01389,Commodity Futures,LBMA,Total Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
DE000A0N62F2,Commodity,Commodity,LBMA Silver Price,LBMA Silver,LB01391,Commodity Futures,LBMA,-,Daily,FALSE,-,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Silver,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Silver: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
